127.0.0.1 - - [12/Apr/2014:00:15:08 -0400] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Apr/2014:00:15:11 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2014:00:15:11 -0400] "GET /com.youtube.rest/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2014:00:15:11 -0400] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Apr/2014:00:15:40 -0400] "GET /com.youtube.rest/api/v1/status HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [12/Apr/2014:00:33:13 -0400] "GET /com.youtube.rest/api/v1/status HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [12/Apr/2014:00:33:27 -0400] "GET /com.youtube.rest/api/v1/status/version HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [12/Apr/2014:00:37:03 -0400] "GET /com.youtube.rest/api/v1/status/version HTTP/1.1" 200 33
192.168.0.101 - - [12/Apr/2014:00:45:55 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:00:45:55 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:00:58:20 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:00:58:21 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:00:58:28 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:00:58:28 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:00:58:47 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:00:58:47 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:00:59:03 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:00:59:03 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:00:59:09 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:00:59:09 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:00:59:12 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:00:59:12 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:00:59:16 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:00:59:16 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:00:59:19 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:00:59:19 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:00:59:49 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:00:59:49 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:01:03:39 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:01:03:39 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:01:04:00 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:01:04:00 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:01:04:04 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:01:04:04 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:01:05:06 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:01:05:06 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:01:05:15 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:01:05:15 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:01:05:16 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:01:05:16 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:01:05:18 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:01:05:18 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:01:05:19 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:01:05:19 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:01:05:20 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:01:05:20 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:01:05:21 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:01:05:21 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:01:05:22 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:01:05:22 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:01:05:23 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:01:05:23 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:01:05:25 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:01:05:25 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:01:05:26 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:01:05:26 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:01:05:27 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:01:05:27 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:01:05:28 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:01:05:29 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:01:06:42 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
192.168.0.101 - - [12/Apr/2014:01:06:42 -0400] "GET /com.youtube.rest/ HTTP/1.1" 200 296
192.168.0.101 - - [12/Apr/2014:01:37:44 -0400] "GET /com.youtube.rest HTTP/1.1" 302 -
